System,Mean_Abs_Loading_LV1
Dopamine,0.5746145564591811
Acetylcholine,0.36813816530951926
Serotonin,0.3583932765315187
Glutamate,0.34952630160617715
Cannabinoid,0.26723206132485994
GABA,0.21222380837066437
Opioid,0.21135896291361914
Noradrenaline,0.18258570911654082
Histamine,0.12035049552358155
