Receptor,Loading_LV1
5HT1b,0.5533504478673966
A4B2,0.4329773113357435
5HT2a,0.3703405411808194
CB1,0.26723206132485994
M1,0.2502748233324892
MOR,0.21135896291361914
NET,0.18258570911654082
H3,0.12035049552358155
5HT4,0.04779971865928478
5HT6,-0.034177634579023994
mGluR5,-0.03626267789094705
GABAa,-0.21222380837066437
5HT1a,-0.34869138154804397
D2,-0.4012580817680836
VAChT,-0.421162361260325
D1,-0.5586879115141792
NMDA,-0.6627899253214072
DAT,-0.7638976760952806
5HTT,-0.7959999353545432
