step,added_feature,cumulative_auc,aic,ridge_C,sensitivity,specificity,ppv,npv,coef_D1,coef_D2,coef_DAT,coef_GABAa,coef_NET,coef_NMDA,coef_T1w:T2w
0,T1w:T2w,0.6776,137.7005,0.0001,0.0,1.0,,0.61,,,,,,,-0.0016
1,D2,0.8037,112.3164,3.727594,0.6154,0.8197,0.6857,0.7692,,-1.1085,,,,,-1.4167
2,D1,0.8218,128.7591,0.028118,0.0513,0.9508,0.4,0.6105,-0.1691,-0.1478,,,,,-0.322
3,GABAa,0.8432,106.0548,51.794747,0.6923,0.8361,0.7297,0.8095,-1.2378,-0.7568,,0.899,,,-2.0034
4,DAT,0.8495,107.1256,35.564803,0.6667,0.8361,0.7222,0.7969,-1.612,-0.992,0.5225,0.8769,,,-2.2131
5,NMDA,0.852,108.5617,2.559548,0.641,0.8361,0.7143,0.7846,-1.4181,-0.879,0.1115,0.6903,,0.3722,-2.0119
6,NET,0.8495,110.0397,2.559548,0.6667,0.8197,0.7027,0.7937,-1.3173,-0.8398,0.0791,0.679,0.2278,0.2816,-2.0187
