step,added_feature,cumulative_auc,aic,ridge_C,sensitivity,specificity,ppv,npv,coef_D1,coef_D2,coef_DAT,coef_GABAa,coef_NET,coef_NMDA,coef_T1w:T2w
0,T1w:T2w,0.6546,141.1441,0.0001,0.0,1.0,,0.56,,,,,,,-0.0014
1,D2,0.795,117.555,24.420531,0.5909,0.8036,0.7027,0.7143,,-1.1446,,,,,-1.3518
2,D1,0.8259,112.9313,3.727594,0.6818,0.8214,0.75,0.7667,-0.6917,-0.8812,,,,,-1.4614
3,GABAa,0.8551,104.8573,3.727594,0.75,0.7679,0.7174,0.7963,-1.4503,-0.6577,,1.0704,,,-1.914
4,NMDA,0.8575,108.1727,0.828643,0.75,0.7857,0.7333,0.8,-1.1978,-0.6283,,0.7502,,0.1179,-1.595
5,DAT,0.8571,107.3899,3.727594,0.75,0.8036,0.75,0.8036,-1.7716,-0.8075,0.0792,1.0014,,0.3859,-2.1085
6,NET,0.8535,109.8289,1.757511,0.75,0.8036,0.75,0.8036,-1.4028,-0.6723,-0.0661,0.9139,0.2141,0.2055,-1.8859
