step,added_feature,cumulative_auc,aic,ridge_C,sensitivity,specificity,ppv,npv,coef_D1,coef_D2,coef_DAT,coef_GABAa,coef_NET,coef_NMDA,coef_T1w:T2w
0,T1w:T2w,0.6523,116.4412,0.0001,0.0,1.0,,0.75,,,,,,,-0.0011
1,D2,0.8251,92.6661,1.206793,0.32,0.9067,0.5333,0.8,,-1.2704,,,,,-1.3201
2,D1,0.8411,92.5032,11.513954,0.48,0.9067,0.6316,0.8395,-0.4065,-1.3422,,,,,-1.6066
3,GABAa,0.8496,92.6994,1.757511,0.48,0.9067,0.6316,0.8395,-0.7017,-1.095,,0.5068,,,-1.6231
4,DAT,0.8539,93.9403,1.757511,0.48,0.9333,0.7059,0.8434,-0.8712,-1.2107,0.2714,0.4713,,,-1.7112
5,NMDA,0.8571,95.2758,1.206793,0.48,0.9333,0.7059,0.8434,-0.8863,-1.1269,0.0002,0.3755,,0.3687,-1.6719
6,NET,0.8656,94.7923,5.428675,0.48,0.92,0.6667,0.8415,-1.5279,-1.5242,0.3548,0.5395,-0.2046,0.6424,-2.2078
