Receptor,Loading_LV1
5HT1b,0.5502753306255795
A4B2,0.5199955364096319
5HT2a,0.42531654915921085
MOR,0.34944686802584185
CB1,0.3301127937662753
H3,0.23223082016597327
M1,0.20217075779589067
NET,0.11404398766372163
5HT4,0.09306944024005444
mGluR5,0.03878364575007767
5HT6,0.004513349163869217
GABAa,-0.18470352807642434
5HT1a,-0.2600146064259076
VAChT,-0.35310061241634855
D2,-0.36375258352706175
D1,-0.4380248210731688
NMDA,-0.5972448815183329
DAT,-0.6816299042809377
5HTT,-0.7543783596591581
