System,Mean_Abs_Loading_LV1
Dopamine,0.49687078211331376
Acetylcholine,0.38246650671737625
Serotonin,0.36995119442707186
Cannabinoid,0.3573969850570303
Glutamate,0.34032271701513933
Opioid,0.3122995043563935
Histamine,0.19526988525314107
Noradrenaline,0.17873875203331493
GABA,0.1778344006983545
