ROI,T1w:T2w,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
7Networks_LH_Vis_1,1.2950499057769775,49.582700994125545,-2.8643438550089204,40.476199929557225,1.898214682925468,0.23993915423150297,5.586067224498097,9.270357004052023,1.2807539183932453,15.31209418522934,0.595078861070403,32.43013420971957,690.2882676969243,15.153039210918946,2.780538804722311,-0.9855247712016165,16.47559693639498,-0.054922804624647784,5.976345142585811,-0.002511139038144538
7Networks_LH_Vis_2,1.4394173622131348,24.528258804968228,-0.7998868389671872,47.68100406675257,1.7798183724142616,0.3485811300043157,4.301419919761245,9.77888342146531,1.2757246959909752,13.343836454693715,-0.6247249634023445,28.765348947965183,831.6997488097339,15.500569950469483,2.9338407346111937,-1.3808210876807054,7.8817141552800445,0.003976357169457274,6.9213570497385595,-0.22022658122981173
7Networks_LH_Vis_3,1.437411904335022,25.47428463447356,-0.8407808572124316,47.12868992568625,1.7385409106057448,0.275458934936925,5.05661247990035,9.216269240593517,1.1916289070412216,17.11860370117665,-0.7251936774363564,29.26712525708581,879.2181269196032,14.35995804483821,2.689996172663481,-0.9763302240787464,9.852896395589257,-0.03730314935741692,7.081444837538673,-0.14226289104501777
7Networks_LH_Vis_4,1.4923292398452759,14.469979895511251,-0.2505318063392648,51.74554829538992,1.6714129129721689,0.28350864619163263,4.254269345220837,8.577530886770509,1.2246215401465488,7.1045166773157,-0.9430192291550744,24.708398000878024,731.7967617109445,14.449184021772409,3.580724719922846,-2.1382232526988836,4.230102473646348,-0.007691304751598103,5.21778907523472,-0.47529423108106766
7Networks_LH_Vis_5,1.5291601419448853,15.388583902482948,1.906073781978926,51.906936109120345,1.2996277034337018,0.34227831835166717,5.085418935352385,7.651575993742585,1.1231102951917376,12.905550413777537,-1.651739832582417,27.135405467106743,924.9512427271992,14.837170608192208,3.58992340713823,-1.5340307074964608,0.0,-0.04061767714962767,6.651558627404085,-0.3564158593387637
7Networks_LH_Vis_6,1.5302870273590088,19.614929940830073,2.0478712609406275,52.82412922665336,1.6392995807170812,0.4294957212172197,6.460936434556698,8.958665845312712,1.09547735425989,17.31548739962269,-1.0257188988377204,29.56695825200416,936.2937475112709,15.184344083773167,3.9536720040097952,-0.3768637062297387,6.493656152587946,0.007052797380737916,7.096838458056703,-0.10623535206781547
7Networks_LH_Vis_7,1.3972909450531004,31.64542715284172,0.16248286804352047,58.186666922610286,2.401549069061856,0.4596002570596026,4.621417254807584,9.575694641046065,1.2859003667516815,12.6469863149853,0.20421358471941609,26.491392991980728,768.0487992152641,14.917438604367998,3.8906586921808897,0.4291788781423807,17.917230017689388,0.012787896867550412,6.149626910419735,-0.09113574083223855
7Networks_LH_Vis_8,1.4300981760025024,19.592976277903343,0.19825434458779767,53.09052385852238,2.0810270842987606,0.3506657221967918,4.418244797771094,9.313528568850415,1.2597739287298355,9.347050089351104,-0.5309055741253309,24.82029303028239,712.9150143953739,14.37891590461844,3.8941885350093504,-0.9233275426101645,8.985460986582913,0.032046899744581255,5.812612869474191,-0.269426687863062
7Networks_LH_Vis_9,1.4869213104248047,22.132778627686616,0.20146825339372343,50.80294981931334,1.8124558961294728,0.43677154565696213,5.625457923443758,8.925636918386564,1.1709206754586747,12.31445360503936,-0.8246587923265629,26.329724650429593,815.5538029176644,14.995043953306045,3.958554465203124,-0.11013890483029055,5.515435606796708,0.03915723675981351,6.559053341972665,-0.22831785459041487
7Networks_LH_SomMot_1,1.4796221256256104,32.557594495924036,-0.08450518171207368,57.43237630502642,2.340840053507254,0.474078976558687,6.022641012781019,9.810325797589591,1.31928764185138,13.401573778027378,0.5099477359128606,28.540495003783093,806.7830632941583,18.59783990881292,3.8246884916703663,0.8558874234689712,17.85256221158753,0.07810676560252734,6.628250427625572,0.3978407487650292
7Networks_LH_SomMot_2,1.41434645652771,27.79397965513291,-1.3560730407347097,50.4033204480935,2.1004844306330104,0.3720524527678192,9.249124738151867,10.417485325052208,1.1460642335425624,16.71184746043679,0.4818443778020301,33.3016119257609,822.4750041249919,15.173771273894852,2.9529548169849438,0.40407171833350675,20.757360985921697,0.02947013015474264,7.1993920941124045,0.9309913775972493
7Networks_LH_SomMot_3,1.302557110786438,35.272171379235566,0.9229989189389542,56.05395874269795,2.4627744001829774,0.5179685490204836,5.439071394540708,10.158089103655795,1.418527063467426,13.932398655064432,0.5009132499573382,28.475235668669608,811.3112986291021,19.27495903375783,4.11961755689504,1.9598484753211611,25.422602453614683,0.1309287082440585,6.510448932237909,0.394332981705392
7Networks_LH_SomMot_4,1.5054490566253662,22.06094001174979,0.8495928043168822,45.82807290072757,1.7279665149263352,0.36597099894016094,4.444291591251397,10.834652163186222,1.329201318799612,8.326875914177563,-0.47648475567281007,26.079591582251375,690.2508259536811,17.313716721469913,3.5675699536987815,-0.5615862168162985,15.240219992974563,0.1611779843371182,5.933455463446409,0.19579703822867764
7Networks_LH_SomMot_5,1.5731269121170044,17.113304947995793,-0.7716842865701723,38.69018778159119,1.430244914383121,0.24921227551337796,4.328376216063829,9.699812530893226,1.244594694242196,7.497009790051104,-0.9543615535288948,23.900731427177885,623.5543185592862,14.88274531886704,3.0760065585893357,-1.788287678279444,10.73461881343844,0.09502811460104024,5.674328762565503,0.0769599971696509
7Networks_LH_SomMot_6,1.4716155529022217,21.4083348776757,-0.8159256202012557,38.02240124242368,1.4479023220986482,0.28714069645599155,4.796310603044855,9.646742990367326,1.2399122118408579,9.24204939002272,-1.0562893359844323,24.364487663738014,655.2371336791746,18.132067291328642,3.31236552198038,-1.201025544322864,16.141256790764906,0.17325472915987408,6.063992076270878,0.30065755866693117
7Networks_LH_DorsAttn_Post_1,1.287638783454895,36.762680326560854,-0.79378518440603,55.48636362548179,2.4102172298527975,0.46471250968343886,3.90975316926746,9.59092493209398,1.323380621974391,14.45242441526685,0.9156946959328861,28.017074957059297,769.7998358103216,15.232986662266155,3.661457238543828,0.01885284709932547,20.87984040779755,0.006105260139392073,6.579257902929382,-0.15301231477038776
