Target,Features,Empirical_AUC,AIC,P_value_AUC
Thr_0,T1w:T2w,0.6427,142.5558,0.2837
Thr_0p001,T1w:T2w,0.6546,141.1441,0.2258
Thr_0p01,T1w:T2w,0.6776,137.7005,0.1578
Thr_0p1,T1w:T2w,0.6523,116.4412,0.2408
