,LV1
5HT1a,-0.08252343745108837
5HT1b,0.595591473074864
5HT2a,0.5248887771841437
5HT4,0.26210617594510754
5HT6,0.21572257505642647
A4B2,0.6215368263857453
M1,0.377138682028851
D1,-0.29172252566356077
D2,-0.15330722323478616
mGluR5,0.2696745830096614
NMDA,-0.4788449034151806
CB1,0.5210800240247242
GABAa,-0.12488258176840576
H3,0.3860427337202215
MOR,0.5095105987039437
5HTT,-0.6165856722254477
DAT,-0.5211483668753307
VAChT,-0.1681850837785592
NET,0.21181539431983643
