System,Mean_Abs_Loading_LV1
Cannabinoid,0.5210800240247242
Opioid,0.5095105987039437
Acetylcholine,0.3889535307310518
Histamine,0.3860427337202215
Serotonin,0.38290301848951297
Glutamate,0.374259743212421
Dopamine,0.3220593719245592
Noradrenaline,0.21181539431983643
GABA,0.12488258176840576
