Thr_0,Thr_0p1,Thr_0p01,Thr_0p001
Dopamine (0.57),Dopamine (0.49),Cannabinoid (0.52),Dopamine (0.50)
Acetylcholine (0.37),Acetylcholine (0.36),Opioid (0.51),Acetylcholine (0.38)
Serotonin (0.36),Opioid (0.35),Acetylcholine (0.39),Serotonin (0.37)
Glutamate (0.35),Serotonin (0.35),Histamine (0.39),Cannabinoid (0.36)
Cannabinoid (0.27),Cannabinoid (0.33),Serotonin (0.38),Glutamate (0.34)
GABA (0.21),Glutamate (0.32),Glutamate (0.37),Opioid (0.31)
Opioid (0.21),Histamine (0.23),Dopamine (0.32),Histamine (0.20)
Noradrenaline (0.18),GABA (0.18),Noradrenaline (0.21),Noradrenaline (0.18)
Histamine (0.12),Noradrenaline (0.11),GABA (0.12),GABA (0.18)
