Threshold,Observed_Corr_LV1,P_Value_Spin_LV1,P_Value_Random_LV1,Class_0_Count,Class_1_Count
Thr_0,0.579639081990841,0.01898101898101898,0.000999000999000999,51,49
Thr_0p001,0.5411108975957922,0.03696303696303696,0.000999000999000999,56,44
Thr_0p01,0.5604694584293216,0.023976023976023976,0.000999000999000999,61,39
Thr_0p1,0.5097010815674866,0.03196803196803197,0.000999000999000999,75,25
